name,artist,playlist_id,playlist_name
No Air (feat. Chris Brown)                                                                                                                                                       ,Jordin Sparks                                   ,13,High-Energy Mix 3
Lady Marmalade                                                                                                                                                                   ,Christina Aguilera                              ,31,Upbeat Grooves 2
Push The Button                                                                                                                                                                  ,Sugababes                                       ,32,Feel-Good Dance
A Thousand Miles - Single Version                                                                                                                                                ,Vanessa Carlton                                 ,150,High-Energy Mix 5
Live Your Life                                                                                                                                                                   ,T.I.                                            ,13,High-Energy Mix 3
The Real Slim Shady                                                                                                                                                              ,Eminem                                          ,190,Upbeat Grooves 3
Big Girls Don't Cry (Personal)                                                                                                                                                   ,Fergie                                          ,150,High-Energy Mix 5
Grace Kelly                                                                                                                                                                      ,MIKA                                            ,171,Energetic Feel-Good
Because Of You                                                                                                                                                                   ,Ne-Yo                                           ,7,Mellow Acoustic
If I Were a Boy                                                                                                                                                                  ,Beyoncé                                         ,31,Upbeat Grooves 2
"One, Two Step (feat. Missy Elliott)                                                                                                                                            ",Ciara                                           ,190,Upbeat Grooves 3
Breakeven                                                                                                                                                                        ,The Script                                      ,30,Upbeat Grooves
No One                                                                                                                                                                           ,Alicia Keys                                     ,16,High-Energy Mix 4
Viva La Vida                                                                                                                                                                     ,Coldplay                                        ,16,High-Energy Mix 4
Who Knew                                                                                                                                                                         ,P!nk                                            ,31,Upbeat Grooves 2
When Love Takes Over (feat. Kelly Rowland)                                                                                                                                       ,David Guetta                                    ,30,Upbeat Grooves
Dancing in the Moonlight                                                                                                                                                         ,Toploader                                       ,30,Upbeat Grooves
World of Our Own                                                                                                                                                                 ,Westlife                                        ,170,Feel-Good Dance 2
Dog Days Are Over                                                                                                                                                                ,Florence + The Machine                          ,150,High-Energy Mix 5
Fireflies                                                                                                                                                                        ,Owl City                                        ,11,High-Energy Mix 2
Because of You                                                                                                                                                                   ,Kelly Clarkson                                  ,16,High-Energy Mix 4
Right Round                                                                                                                                                                      ,Flo Rida                                        ,32,Feel-Good Dance
I Know You Want Me (Calle Ocho)                                                                                                                                                  ,Pitbull                                         ,170,Feel-Good Dance 2
So Sick                                                                                                                                                                          ,Ne-Yo                                           ,31,Upbeat Grooves 2
Pump It                                                                                                                                                                          ,Black Eyed Peas                                 ,191,Feel-Good Dance 3
Smack That                                                                                                                                                                       ,Akon                                            ,190,Upbeat Grooves 3
All The Things She Said                                                                                                                                                          ,t.A.T.u.                                        ,16,High-Energy Mix 4
Hot In Herre                                                                                                                                                                     ,Nelly                                           ,201,Feel-Good Dance 4
Hey Ya! - Radio Mix / Club Mix                                                                                                                                                   ,Outkast                                         ,171,Energetic Feel-Good
Bulletproof                                                                                                                                                                      ,La Roux                                         ,191,Feel-Good Dance 3
Teenage Dirtbag                                                                                                                                                                  ,Wheatus                                         ,170,Feel-Good Dance 2
Haven't Met You Yet                                                                                                                                                              ,Michael Bublé                                   ,32,Feel-Good Dance
"Independent Women, Pt. 1                                                                                                                                                       ",Destiny's Child                                 ,190,Upbeat Grooves 3
Whole Again                                                                                                                                                                      ,Atomic Kitten                                   ,170,Feel-Good Dance 2
Run This Town                                                                                                                                                                    ,JAY-Z                                           ,11,High-Energy Mix 2
Get the Party Started                                                                                                                                                            ,P!nk                                            ,201,Feel-Good Dance 4
Dirrty (feat. Redman)                                                                                                                                                            ,Christina Aguilera                              ,11,High-Energy Mix 2
Gives You Hell                                                                                                                                                                   ,The All-American Rejects                        ,11,High-Energy Mix 2
Knock You Down                                                                                                                                                                   ,Keri Hilson                                     ,30,Upbeat Grooves
Love Don't Cost a Thing                                                                                                                                                          ,Jennifer Lopez                                  ,190,Upbeat Grooves 3
Bootylicious                                                                                                                                                                     ,Destiny's Child                                 ,191,Feel-Good Dance 3
Crush                                                                                                                                                                            ,David Archuleta                                 ,16,High-Energy Mix 4
Hall of Fame (feat. will.i.am)                                                                                                                                                   ,The Script                                      ,30,Upbeat Grooves
Impossible - Main                                                                                                                                                                ,Shontelle                                       ,200,Happy Grooves
Put Your Records On                                                                                                                                                              ,Corinne Bailey Rae                              ,31,Upbeat Grooves 2
Bubbly                                                                                                                                                                           ,Colbie Caillat                                  ,14,Acoustic Chill
Let Me Love You                                                                                                                                                                  ,Mario                                           ,211,Upbeat Grooves 4
Boom Boom Pow                                                                                                                                                                    ,Black Eyed Peas                                 ,31,Upbeat Grooves 2
Hate That I Love You                                                                                                                                                             ,Rihanna                                         ,190,Upbeat Grooves 3
Thnks fr th Mmrs                                                                                                                                                                 ,Fall Out Boy                                    ,211,Upbeat Grooves 4
Yellow                                                                                                                                                                           ,Coldplay                                        ,150,High-Energy Mix 5
Gold Digger                                                                                                                                                                      ,Kanye West                                      ,191,Feel-Good Dance 3
Can't Get You out of My Head                                                                                                                                                     ,Kylie Minogue                                   ,201,Feel-Good Dance 4
Fuck You                                                                                                                                                                         ,CeeLo Green                                     ,171,Energetic Feel-Good
Candy Shop                                                                                                                                                                       ,50 Cent                                         ,30,Upbeat Grooves
I'm Yours                                                                                                                                                                        ,Jason Mraz                                      ,200,Happy Grooves
My Love                                                                                                                                                                          ,Justin Timberlake                               ,190,Upbeat Grooves 3
Sex on Fire                                                                                                                                                                      ,Kings of Leon                                   ,150,High-Energy Mix 5
Whataya Want from Me                                                                                                                                                             ,Adam Lambert                                    ,13,High-Energy Mix 3
Closer                                                                                                                                                                           ,The Chainsmokers                                ,200,Happy Grooves
Sorry                                                                                                                                                                            ,Justin Bieber                                   ,16,High-Energy Mix 4
Thinking out Loud                                                                                                                                                                ,Ed Sheeran                                      ,9,Mellow Acoustic 2
Congratulations                                                                                                                                                                  ,Post Malone                                     ,31,Upbeat Grooves 2
Just the Way You Are                                                                                                                                                             ,Bruno Mars                                      ,11,High-Energy Mix 2
Someone Like You                                                                                                                                                                 ,Adele                                           ,14,Acoustic Chill
One Last Time                                                                                                                                                                    ,Ariana Grande                                   ,150,High-Energy Mix 5
Wake Me Up                                                                                                                                                                       ,Avicii                                          ,11,High-Energy Mix 2
bad guy                                                                                                                                                                          ,Billie Eilish                                   ,200,Happy Grooves
"Love Me Like You Do - From ""Fifty Shades Of Grey""                                                                                                                            ",Ellie Goulding                                  ,16,High-Energy Mix 4
Wildest Dreams                                                                                                                                                                   ,Taylor Swift                                    ,31,Upbeat Grooves 2
Story of My Life                                                                                                                                                                 ,One Direction                                   ,0,Balanced Mix
Treat You Better                                                                                                                                                                 ,Shawn Mendes                                    ,211,Upbeat Grooves 4
Scars To Your Beautiful                                                                                                                                                          ,Alessia Cara                                    ,11,High-Energy Mix 2
The One That Got Away                                                                                                                                                            ,Katy Perry                                      ,191,Feel-Good Dance 3
Symphony (feat. Zara Larsson)                                                                                                                                                    ,Clean Bandit                                    ,16,High-Energy Mix 4
We Don't Talk Anymore (feat. Selena Gomez)                                                                                                                                       ,Charlie Puth                                    ,7,Mellow Acoustic
Blank Space                                                                                                                                                                      ,Taylor Swift                                    ,31,Upbeat Grooves 2
Stitches                                                                                                                                                                         ,Shawn Mendes                                    ,170,Feel-Good Dance 2
Heart Attack                                                                                                                                                                     ,Demi Lovato                                     ,150,High-Energy Mix 5
Payphone                                                                                                                                                                         ,Maroon 5                                        ,11,High-Energy Mix 2
What Makes You Beautiful                                                                                                                                                         ,One Direction                                   ,170,Feel-Good Dance 2
Dusk Till Dawn - Radio Edit                                                                                                                                                      ,ZAYN                                            ,13,High-Energy Mix 3
There's Nothing Holdin' Me Back                                                                                                                                                  ,Shawn Mendes                                    ,170,Feel-Good Dance 2
Talking to the Moon                                                                                                                                                              ,Bruno Mars                                      ,7,Mellow Acoustic
Like I Can                                                                                                                                                                       ,Sam Smith                                       ,101,Mellow Acoustic 3
Drag Me Down                                                                                                                                                                     ,One Direction                                   ,191,Feel-Good Dance 3
Maps                                                                                                                                                                             ,Maroon 5                                        ,191,Feel-Good Dance 3
I Knew You Were Trouble                                                                                                                                                          ,Taylor Swift                                    ,31,Upbeat Grooves 2
Love Yourself                                                                                                                                                                    ,Justin Bieber                                   ,210,Acoustic Chill 3
Shower                                                                                                                                                                           ,Becky G                                         ,0,Balanced Mix
Rude                                                                                                                                                                             ,MAGIC!                                          ,171,Energetic Feel-Good
"10,000 Hours (with Justin Bieber)                                                                                                                                              ",Dan + Shay                                      ,31,Upbeat Grooves 2
If I Can't Have You                                                                                                                                                              ,Shawn Mendes                                    ,9,Mellow Acoustic 2
Mirrors                                                                                                                                                                          ,Justin Timberlake                               ,190,Upbeat Grooves 3
Say You Won't Let Go                                                                                                                                                             ,James Arthur                                    ,200,Happy Grooves
Stereo Hearts (feat. Adam Levine)                                                                                                                                                ,Gym Class Heroes                                ,30,Upbeat Grooves
Memories                                                                                                                                                                         ,Maroon 5                                        ,200,Happy Grooves
Set Fire to the Rain                                                                                                                                                             ,Adele                                           ,16,High-Energy Mix 4
Classic                                                                                                                                                                          ,MKTO                                            ,170,Feel-Good Dance 2
Youngblood                                                                                                                                                                       ,5 Seconds of Summer                             ,13,High-Energy Mix 3
Locked Away (feat. Adam Levine)                                                                                                                                                  ,R. City                                         ,0,Balanced Mix
Mercy                                                                                                                                                                            ,Shawn Mendes                                    ,13,High-Energy Mix 3
Attention                                                                                                                                                                        ,Charlie Puth                                    ,191,Feel-Good Dance 3
Photograph                                                                                                                                                                       ,Ed Sheeran                                      ,210,Acoustic Chill 3
Shout Out to My Ex                                                                                                                                                               ,Little Mix                                      ,32,Feel-Good Dance
The Middle                                                                                                                                                                       ,Zedd                                            ,31,Upbeat Grooves 2
Sugar                                                                                                                                                                            ,Maroon 5                                        ,170,Feel-Good Dance 2
"Flashlight - From ""Pitch Perfect 2"" Soundtrack                                                                                                                               ",Jessie J                                        ,0,Balanced Mix
She Looks So Perfect                                                                                                                                                             ,5 Seconds of Summer                             ,150,High-Energy Mix 5
Grenade                                                                                                                                                                          ,Bruno Mars                                      ,16,High-Energy Mix 4
Counting Stars                                                                                                                                                                   ,OneRepublic                                     ,16,High-Energy Mix 4
I Don't Care (with Justin Bieber)                                                                                                                                                ,Ed Sheeran                                      ,32,Feel-Good Dance
Black Magic                                                                                                                                                                      ,Little Mix                                      ,171,Energetic Feel-Good
Animals                                                                                                                                                                          ,Maroon 5                                        ,16,High-Energy Mix 4
Wolves                                                                                                                                                                           ,Selena Gomez                                    ,211,Upbeat Grooves 4
IDGAF                                                                                                                                                                            ,Dua Lipa                                        ,31,Upbeat Grooves 2
Adore You                                                                                                                                                                        ,Harry Styles                                    ,31,Upbeat Grooves 2
Last Friday Night (T.G.I.F.)                                                                                                                                                     ,Katy Perry                                      ,191,Feel-Good Dance 3
Señorita                                                                                                                                                                         ,Shawn Mendes                                    ,201,Feel-Good Dance 4
Sucker                                                                                                                                                                           ,Jonas Brothers                                  ,191,Feel-Good Dance 3
Someone You Loved                                                                                                                                                                ,Lewis Capaldi                                   ,210,Acoustic Chill 3
Beautiful People (feat. Khalid)                                                                                                                                                  ,Ed Sheeran                                      ,190,Upbeat Grooves 3
Too Good At Goodbyes                                                                                                                                                             ,Sam Smith                                       ,9,Mellow Acoustic 2
We Are Never Ever Getting Back Together                                                                                                                                          ,Taylor Swift                                    ,31,Upbeat Grooves 2
Something Just Like This                                                                                                                                                         ,The Chainsmokers                                ,211,Upbeat Grooves 4
Fight Song                                                                                                                                                                       ,Rachel Platten                                  ,150,High-Energy Mix 5
"thank u, next                                                                                                                                                                  ",Ariana Grande                                   ,0,Balanced Mix
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""                                                           ",ZAYN                                            ,0,Balanced Mix
Perfect                                                                                                                                                                          ,Ed Sheeran                                      ,150,High-Energy Mix 5
When We Were Young                                                                                                                                                               ,Adele                                           ,0,Balanced Mix
One Call Away                                                                                                                                                                    ,Charlie Puth                                    ,0,Balanced Mix
Like I'm Gonna Lose You (feat. John Legend)                                                                                                                                      ,Meghan Trainor                                  ,9,Mellow Acoustic 2
Never Really Over                                                                                                                                                                ,Katy Perry                                      ,31,Upbeat Grooves 2
Without Me                                                                                                                                                                       ,Halsey                                          ,31,Upbeat Grooves 2
Happier                                                                                                                                                                          ,Ed Sheeran                                      ,210,Acoustic Chill 3
Stronger (What Doesn't Kill You)                                                                                                                                                 ,Kelly Clarkson                                  ,171,Energetic Feel-Good
All of Me                                                                                                                                                                        ,John Legend                                     ,14,Acoustic Chill
Call Me Maybe                                                                                                                                                                    ,Carly Rae Jepsen                                ,31,Upbeat Grooves 2
The Nights                                                                                                                                                                       ,Avicii                                          ,31,Upbeat Grooves 2
New Rules                                                                                                                                                                        ,Dua Lipa                                        ,211,Upbeat Grooves 4
Let Me Love You                                                                                                                                                                  ,DJ Snake                                        ,150,High-Energy Mix 5
Dear Future Husband                                                                                                                                                              ,Meghan Trainor                                  ,170,Feel-Good Dance 2
Shape of You                                                                                                                                                                     ,Ed Sheeran                                      ,7,Mellow Acoustic
YOUTH                                                                                                                                                                            ,Troye Sivan                                     ,31,Upbeat Grooves 2
Bad Blood                                                                                                                                                                        ,Taylor Swift                                    ,150,High-Energy Mix 5
Locked out of Heaven                                                                                                                                                             ,Bruno Mars                                      ,32,Feel-Good Dance
I Really Like You                                                                                                                                                                ,Carly Rae Jepsen                                ,31,Upbeat Grooves 2
In My Blood                                                                                                                                                                      ,Shawn Mendes                                    ,11,High-Energy Mix 2
Lush Life                                                                                                                                                                        ,Zara Larsson                                    ,201,Feel-Good Dance 4
Domino                                                                                                                                                                           ,Jessie J                                        ,32,Feel-Good Dance
ME! (feat. Brendon Urie of Panic! At The Disco)                                                                                                                                  ,Taylor Swift                                    ,171,Energetic Feel-Good
Galway Girl                                                                                                                                                                      ,Ed Sheeran                                      ,30,Upbeat Grooves
Firework                                                                                                                                                                         ,Katy Perry                                      ,31,Upbeat Grooves 2
When I Was Your Man                                                                                                                                                              ,Bruno Mars                                      ,210,Acoustic Chill 3
What Do You Mean?                                                                                                                                                                ,Justin Bieber                                   ,101,Mellow Acoustic 3
Rolling in the Deep                                                                                                                                                              ,Adele                                           ,31,Upbeat Grooves 2
Into You                                                                                                                                                                         ,Ariana Grande                                   ,150,High-Energy Mix 5
PILLOWTALK                                                                                                                                                                       ,ZAYN                                            ,150,High-Energy Mix 5
Paris                                                                                                                                                                            ,The Chainsmokers                                ,0,Balanced Mix
Glad You Came                                                                                                                                                                    ,The Wanted                                      ,211,Upbeat Grooves 4
If the World Was Ending (feat. Julia Michaels)                                                                                                                                   ,JP Saxe                                         ,210,Acoustic Chill 3
Scared to Be Lonely                                                                                                                                                              ,Martin Garrix                                   ,16,High-Energy Mix 4
Send My Love (To Your New Lover)                                                                                                                                                 ,Adele                                           ,190,Upbeat Grooves 3
"How Far I'll Go - From ""Vaiana""                                                                                                                                              ",Alessia Cara                                    ,150,High-Energy Mix 5
Shut Up and Dance                                                                                                                                                                ,WALK THE MOON                                   ,171,Energetic Feel-Good
Roar                                                                                                                                                                             ,Katy Perry                                      ,13,High-Energy Mix 3
Castle on the Hill                                                                                                                                                               ,Ed Sheeran                                      ,11,High-Energy Mix 2
Let Me Down Slowly                                                                                                                                                               ,Alec Benjamin                                   ,7,Mellow Acoustic
7 rings                                                                                                                                                                          ,Ariana Grande                                   ,7,Mellow Acoustic
Perfect Strangers                                                                                                                                                                ,Jonas Blue                                      ,170,Feel-Good Dance 2
Please Don't Go                                                                                                                                                                  ,Joel Adams                                      ,16,High-Energy Mix 4
Pretty Girl - Cheat Codes X CADE Remix                                                                                                                                           ,Maggie Lindemann                                ,201,Feel-Good Dance 4
All I Ask                                                                                                                                                                        ,Adele                                           ,210,Acoustic Chill 3
Stay                                                                                                                                                                             ,Zedd                                            ,190,Upbeat Grooves 3
no tears left to cry                                                                                                                                                             ,Ariana Grande                                   ,13,High-Energy Mix 3
i'm so tired...                                                                                                                                                                  ,Lauv                                            ,30,Upbeat Grooves
Just Give Me a Reason                                                                                                                                                            ,P!nk                                            ,0,Balanced Mix
In the Name of Love                                                                                                                                                              ,Martin Garrix                                   ,16,High-Energy Mix 4
Stay With Me                                                                                                                                                                     ,Sam Smith                                       ,210,Acoustic Chill 3
It Ain't Me (with Selena Gomez)                                                                                                                                                  ,Kygo                                            ,0,Balanced Mix
Cold (feat. Future)                                                                                                                                                              ,Maroon 5                                        ,211,Upbeat Grooves 4
Chandelier                                                                                                                                                                       ,Sia                                             ,11,High-Energy Mix 2
